sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
1434,9,"face",32,36,"NN","NN",2,"face"
1435,0,"That",0,4,"DT","DT",2,"That"
1435,1,"over-goes",4,13,"VBZ","VB",2,"over-go"
1435,2,"my",13,15,"PRP$","WP",1,"my"
1435,3,"blunt",15,20,"JJ","JJ",1,"blunt"
1435,4,"invention",20,29,"NN","NN",1,"invent"
1435,5,"quite",29,34,"RB","RB",1,"quit"
1435,6,",",34,35,",",",",3,","
1436,0,"Dulling",0,7,"VBG","VB",3,"Dull"
1436,1,"my",7,9,"PRP$","WP",2,"my"
1436,2,"lines",9,14,"NNS","NN",2,"line"
1436,3,",",14,15,",",",",5,","
1436,4,"and",15,18,"CC","CC",5,"and"
1436,5,"doing",18,23,"VBG","VB",3,"do"
1436,6,"me",23,25,"PRP","WP",1,"me"
1436,7,"disgrace",25,33,"JJ","JJ",1,"disgrac"
1436,8,".",33,34,".",".",5,"."
1437,0,"Were",0,4,"VB","VB",7,"Were"
1437,1,"it",4,6,"PRP","WP",5,"it"
1437,2,"not",6,9,"RB","RB",3,"not"
1437,3,"sinful",9,15,"JJ","JJ",3,"sin"
1437,4,"then",15,19,"RB","RB",3,"then"
1437,5,",",19,20,",",",",5,","
1437,6,"striving",20,28,"VBG","VB",4,"strive"
1437,7,"to",28,30,"TO","TO",2,"to"
1437,8,"mend",30,34,"VB","VB",1,"mend"
1437,9,",",34,35,",",",",5,","
1438,0,"To",0,2,"TO","TO",7,"To"
1438,1,"mar",2,5,"VB","VB",6,"mar"
1438,2,"the",5,8,"DT","DT",4,"the"
1438,3,"subject",8,15,"NN","NN",4,"subject"
1438,4,"that",15,19,"WDT","WDT",3,"that"
1438,5,"before",19,25,"RB","RB",2,"befor"
1438,6,"was",25,28,"VBD","VB",2,"wa"
1438,7,"well",28,32,"RB","RB",1,"well"
1438,8,"?",32,33,".",".",8,"?"
1439,0,"For",0,3,"IN","IN",3,"For"
1439,1,"to",3,5,"TO","TO",2,"to"
1439,2,"no",5,7,"DT","DT",1,"no"
1439,3,"other",7,12,"JJ","JJ",1,"other"
1439,4,"pass",12,16,"NN","NN",1,"pass"
1439,5,"my",16,18,"PRP$","WP",3,"my"
1439,6,"verses",18,24,"NNS","NN",3,"vers"
1439,7,"tend",24,28,"VBP","VB",3,"tend"
1440,0,"Than",0,4,"VBG","VB",4,"Than"
1440,1,"of",4,6,"IN","IN",3,"of"
1440,2,"your",6,10,"PRP$","WP",1,"your"
1440,3,"graces",10,16,"NN","NN",1,"grace"
1440,4,"and",16,19,"CC","CC",2,"and"
1440,5,"your",19,23,"PRP$","WP",1,"your"
1440,6,"gifts",23,28,"NNS","NN",1,"gift"
1440,7,"to",28,30,"TO","TO",2,"to"
1440,8,"tell",30,34,"VB","VB",1,"tell"
1440,9,";",34,35,":",":",5,";"
1441,0,"And",0,3,"CC","CC",4,"And"
1441,1,"more",3,7,"JJR","JJ",2,"more"
1441,2,",",7,8,",",",",3,","
1441,3,"much",8,12,"RB","RB",2,"much"
1441,4,"more",12,16,"JJR","JJ",2,"more"
1441,5,",",16,17,",",",",3,","
1441,6,"than",17,21,"IN","IN",3,"than"
1441,7,"in",21,23,"IN","IN",2,"in"
1441,8,"my",23,25,"PRP$","WP",1,"my"
1441,9,"verse",25,30,"NN","NN",1,"vers"
1441,10,"can",30,33,"MD","MD",3,"can"
1441,11,"sit",33,36,"VB","VB",2,"sit"
1441,12,",",36,37,",",",",4,","
1442,0,"Your",0,4,"PRP$","WP",6,"Your"
1442,1,"own",4,7,"JJ","JJ",6,"own"
1442,2,"glass",7,12,"NN","NN",6,"glass"
1442,3,"shows",12,17,"VBZ","VB",6,"show"
1442,4,"you",17,20,"PRP","WP",5,"you"
1442,5,"when",20,24,"WRB","RB",4,"when"
1442,6,"you",24,27,"PRP","WP",3,"you"
1442,7,"look",27,31,"VBP","VB",3,"look"
1442,8,"in",31,33,"IN","IN",2,"in"
1442,9,"it",33,35,"PRP","WP",1,"it"
1442,10,".",35,36,".",".",7,"."
1443,0,"To",0,2,"TO","TO",3,"To"
1443,1,"me",2,4,"PRP","WP",1,"me"
1443,2,",",4,5,",",",",2,","
1443,3,"fair",5,9,"JJ","JJ",1,"fair"
1443,4,"friend",9,15,"NN","NN",1,"friend"
1443,5,",",15,16,",",",",4,","
1443,6,"you",16,19,"PRP","WP",3,"you"
1443,7,"never",19,24,"RB","RB",3,"never"
1443,8,"can",24,27,"MD","MD",3,"can"
1443,9,"be",27,29,"VB","VB",2,"be"
1443,10,"old",29,32,"JJ","JJ",1,"old"
1443,11,",",32,33,",",",",4,","
1444,0,"For",0,3,"IN","IN",6,"For"
1444,1,"as",3,5,"IN","IN",5,"as"
1444,2,"you",5,8,"PRP","WP",3,"you"
1444,3,"were",8,12,"VBD","VB",3,"were"
1444,4,"when",12,16,"WRB","RB",2,"when"
1444,5,"first",16,21,"RB","RB",2,"first"
1444,6,"your",21,25,"PRP$","WP",1,"your"
1444,7,"eye",25,28,"NN","NN",1,"ey"
1444,8,"I",28,29,"PRP","WP",6,"I"
1444,9,"ey",29,31,"RB","RB",6,"ey"
1444,10,"'d",31,33,"MD","MD",6,"'d"
1444,11,",",33,34,",",",",7,","
