sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
148,5,"the",26,29,"DT","DT",1,"the"
148,6,"world",29,34,"NN","NN",1,"world"
148,7,"away",34,38,"RB","RB",1,"awai"
148,8,".",38,39,".",".",4,"."
149,0,"Let",0,3,"VB","VB",8,"Let"
149,1,"those",3,8,"DT","DT",6,"those"
149,2,"whom",8,12,"WP","WP",5,"whom"
149,3,"nature",12,18,"NN","NN",4,"natur"
149,4,"hath",18,22,"VBD","VB",4,"hath"
149,5,"not",22,25,"RB","RB",4,"not"
149,6,"made",25,29,"VBN","VB",3,"made"
149,7,"for",29,32,"IN","IN",2,"for"
149,8,"store",32,37,"NN","NN",1,"store"
149,9,",",37,38,",",",",3,","
150,0,"Harsh",0,5,"JJ","JJ",1,"Harsh"
150,1,",",5,6,",",",",1,","
150,2,"featureless",6,17,"JJ","JJ",1,"featureless"
150,3,",",17,18,",",",",1,","
150,4,"and",18,21,"CC","CC",1,"and"
150,5,"rude",21,25,"JJ","JJ",1,"rude"
150,6,",",25,26,",",",",1,","
150,7,"barrenly",26,34,"JJ","JJ",1,"barrenli"
150,8,"perish",34,40,"NN","NN",2,"perish"
150,9,":",40,41,":",":",3,":"
151,0,"Look",0,4,"NN","NN",3,"Look"
151,1,",",4,5,",",",",4,","
151,2,"whom",5,9,"WP","WP",2,"whom"
151,3,"she",9,12,"PRP","WP",1,"she"
151,4,"best",12,16,"RB","RB",1,"best"
151,5,"endow",16,21,"JJ","JJ",1,"endow"
151,6,"'d",21,23,"MD","MD",4,"'d"
151,7,",",23,24,",",",",6,","
151,8,"she",24,27,"PRP","WP",5,"she"
151,9,"gave",27,31,"VBD","VB",5,"gave"
151,10,"thee",31,35,"PRP","WP",3,"thee"
151,11,"more",35,39,"JJR","JJ",3,"more"
151,12,";",39,40,":",":",6,";"
152,0,"Which",0,5,"WDT","WDT",4,"Which"
152,1,"bounteous",5,14,"JJ","JJ",3,"bounteou"
152,2,"gift",14,18,"NN","NN",4,"gift"
152,3,"thou",18,22,"VBG","VB",3,"thou"
152,4,"shouldst",22,30,"NN","NN",2,"shouldst"
152,5,"in",30,32,"IN","IN",2,"in"
152,6,"bounty",32,38,"NN","NN",1,"bounti"
152,7,"cherish",38,45,"NN","NN",1,"cherish"
152,8,":",45,46,":",":",5,":"
153,0,"She",0,3,"PRP","WP",4,"She"
153,1,"carv",3,7,"RB","RB",4,"carv"
153,2,"'d",7,9,"VBD","VB",3,"'d"
153,3,"thee",9,13,"PRP","WP",2,"thee"
153,4,"for",13,16,"IN","IN",2,"for"
153,5,"her",16,19,"PRP$","WP",1,"her"
153,6,"seal",19,23,"NN","NN",1,"seal"
153,7,",",23,24,",",",",4,","
153,8,"and",24,27,"CC","CC",4,"and"
153,9,"meant",27,32,"VBD","VB",3,"meant"
153,10,"thereby",32,39,"RB","RB",2,"therebi"
